,name,ageDuringRace,points
0,Nico Rosberg,28,25.0
1,Nico Rosberg,29,18.0
2,Nico Rosberg,30,25.0
3,Kevin Magnussen,21,18.0
4,Kevin Magnussen,22,0.0
5,Kevin Magnussen,23,0.0
6,Kevin Magnussen,24,0.0
7,Kevin Magnussen,25,0.0
8,Kevin Magnussen,26,8.0
9,Jenson Button,34,15.0
10,Jenson Button,35,0.0
11,Jenson Button,36,0.0
12,Fernando Alonso,32,12.0
13,Fernando Alonso,34,0.0
14,Fernando Alonso,35,0.0
15,Fernando Alonso,36,10.0
16,Valtteri Bottas,24,10.0
17,Valtteri Bottas,25,0.0
18,Valtteri Bottas,26,4.0
19,Valtteri Bottas,27,15.0
20,Valtteri Bottas,28,4.0
21,Valtteri Bottas,29,26.0
22,Nico Hülkenberg,26,8.0
23,Nico Hülkenberg,27,6.0
24,Nico Hülkenberg,28,6.0
25,Nico Hülkenberg,29,0.0
26,Nico Hülkenberg,30,6.0
27,Nico Hülkenberg,31,6.0
28,Kimi Räikkönen,34,6.0
29,Kimi Räikkönen,35,0.0
30,Kimi Räikkönen,36,0.0
31,Kimi Räikkönen,37,12.0
32,Kimi Räikkönen,38,15.0
33,Kimi Räikkönen,39,4.0
34,Jean-Éric Vergne,23,4.0
35,Daniil Kvyat,19,2.0
36,Daniil Kvyat,20,0.0
37,Daniil Kvyat,21,0.0
38,Daniil Kvyat,22,2.0
39,Daniil Kvyat,24,1.0
40,Sergio Pérez,24,1.0
41,Sergio Pérez,25,1.0
42,Sergio Pérez,26,0.0
43,Sergio Pérez,27,6.0
44,Sergio Pérez,28,0.0
45,Sergio Pérez,29,0.0
46,Adrian Sutil,31,0.0
47,Esteban Gutiérrez,22,0.0
48,Esteban Gutiérrez,24,0.0
49,Max Chilton,22,0.0
50,Jules Bianchi,24,0.0
51,Romain Grosjean,27,0.0
52,Romain Grosjean,28,0.0
53,Romain Grosjean,29,8.0
54,Romain Grosjean,30,0.0
55,Romain Grosjean,31,0.0
56,Romain Grosjean,32,0.0
57,Pastor Maldonado,29,0.0
58,Pastor Maldonado,30,0.0
59,Marcus Ericsson,23,0.0
60,Marcus Ericsson,24,4.0
61,Marcus Ericsson,25,0.0
62,Marcus Ericsson,26,0.0
63,Marcus Ericsson,27,0.0
64,Sebastian Vettel,26,0.0
65,Sebastian Vettel,27,15.0
66,Sebastian Vettel,28,15.0
67,Sebastian Vettel,29,25.0
68,Sebastian Vettel,30,25.0
69,Sebastian Vettel,31,12.0
70,Lewis Hamilton,29,0.0
71,Lewis Hamilton,30,25.0
