,constructor,fault
0,mercedes,1
1,mercedes,1
2,mercedes,1
3,mclaren,1
5,renault,1
6,haas,0
7,haas,0
8,haas,1
9,mclaren,1
10,mclaren,1
11,mclaren,1
12,ferrari,1
14,mclaren,0
15,mclaren,1
16,williams,1
18,williams,1
19,mercedes,1
20,mercedes,1
21,mercedes,1
22,racing_point,1
23,racing_point,1
24,racing_point,1
25,renault,1
26,renault,1
27,renault,1
28,ferrari,1
29,ferrari,0
30,ferrari,0
31,ferrari,1
32,ferrari,1
33,alfa,1
34,alphatauri,1
35,alphatauri,1
38,alphatauri,1
39,alphatauri,1
40,racing_point,1
41,racing_point,1
42,racing_point,1
43,racing_point,1
44,racing_point,1
45,racing_point,1
46,alfa,1
47,alfa,1
49,manor,1
50,manor,1
51,renault,0
52,renault,0
53,haas,1
54,haas,0
55,haas,0
56,haas,0
57,renault,0
59,caterham,0
60,alfa,1
61,alfa,0
62,alfa,0
63,alfa,0
64,red_bull,0
65,ferrari,1
66,ferrari,1
67,ferrari,1
68,ferrari,1
69,ferrari,1
70,mercedes,0
71,mercedes,1
72,mercedes,1
73,mercedes,1
74,mercedes,1
75,mercedes,1
77,williams,1
78,williams,1
79,williams,1
82,red_bull,1
83,red_bull,1
84,red_bull,0
85,red_bull,1
87,alfa,1
88,alfa,1
89,alphatauri,1
90,alphatauri,1
91,alphatauri,1
92,renault,1
93,mclaren,0
94,alphatauri,0
95,alphatauri,1
96,red_bull,1
97,red_bull,1
98,red_bull,1
99,renault,1
100,renault,0
101,manor,1
102,manor,0
103,mclaren,1
104,mclaren,1
105,racing_point,1
106,racing_point,1
107,alfa,1
108,alfa,1
109,williams,0
110,williams,1
111,racing_point,1
112,alphatauri,0
113,red_bull,1
114,alphatauri,1
115,alfa,1
116,ferrari,1
117,williams,0
118,mclaren,1
119,alphatauri,1
120,williams,1
121,williams,1
122,,0
123,mercedes,1
124,mercedes,1
125,mercedes,1
126,mclaren,1
127,renault,0
128,haas,1
129,mclaren,1
130,mclaren,0
131,mclaren,1
132,ferrari,1
133,mclaren,0
134,mclaren,1
135,mclaren,1
136,williams,1
137,williams,1
138,williams,1
139,mercedes,1
140,racing_point,1
141,racing_point,1
142,racing_point,1
143,renault,1
144,ferrari,1
145,ferrari,1
146,ferrari,1
147,ferrari,0
148,alphatauri,0
149,alphatauri,1
150,red_bull,1
151,alphatauri,1
153,racing_point,1
154,racing_point,1
155,racing_point,1
156,alfa,0
157,alfa,0
158,haas,0
159,manor,1
160,manor,0
161,renault,1
162,renault,1
163,haas,0
164,haas,1
165,renault,0
167,caterham,1
169,alfa,1
170,alfa,1
171,red_bull,1
172,ferrari,1
174,ferrari,1
175,mercedes,1
176,mercedes,1
177,mercedes,0
178,mercedes,1
179,williams,1
180,williams,1
181,williams,1
182,williams,1
183,caterham,1
184,red_bull,0
185,red_bull,1
186,red_bull,1
187,red_bull,1
188,manor,0
189,alfa,1
190,alfa,0
191,alphatauri,1
192,alphatauri,1
193,alphatauri,0
194,alphatauri,1
195,red_bull,1
196,red_bull,1
197,manor,1
198,renault,1
199,renault,1
200,manor,1
201,alfa,1
202,mclaren,1
203,manor,1
204,racing_point,1
205,williams,1
206,alphatauri,1
207,mercedes,1
208,mercedes,1
209,mercedes,1
210,mclaren,0
211,renault,1
212,haas,0
213,haas,1
214,haas,1
215,haas,1
216,haas,1
217,mclaren,0
218,mclaren,0
219,mclaren,0
220,ferrari,1
221,mclaren,1
222,mclaren,0
223,mclaren,1
224,renault,0
225,williams,1
226,williams,1
227,williams,1
228,mercedes,1
229,mercedes,1
230,mercedes,1
231,mercedes,1
232,mercedes,1
233,mercedes,1
234,racing_point,1
235,racing_point,1
236,racing_point,1
237,renault,1
238,renault,1
239,renault,0
240,ferrari,1
241,ferrari,1
242,ferrari,1
243,ferrari,1
244,ferrari,0
245,alfa,1
246,alfa,1
247,alfa,1
248,alfa,1
250,alphatauri,1
251,red_bull,1
252,red_bull,1
253,alphatauri,1
254,alphatauri,1
255,alphatauri,1
256,alphatauri,1
257,racing_point,1
258,racing_point,1
259,racing_point,1
260,racing_point,1
261,racing_point,1
262,racing_point,1
263,racing_point,0
264,racing_point,1
265,red_bull,1
269,manor,1
270,manor,1
271,renault,1
272,renault,1
273,haas,1
274,haas,1
275,haas,1
278,renault,1
279,renault,1
281,alfa,1
282,alfa,1
283,alfa,0
284,alfa,1
285,red_bull,1
286,ferrari,1
287,ferrari,0
288,ferrari,1
289,ferrari,1
290,ferrari,1
291,ferrari,1
292,ferrari,1
293,racing_point,1
294,mercedes,1
295,mercedes,1
296,mercedes,1
297,mercedes,1
298,mercedes,1
299,mercedes,1
300,mercedes,1
301,mercedes,1
302,williams,1
303,williams,1
304,williams,1
305,williams,1
306,caterham,1
307,red_bull,1
308,red_bull,1
309,red_bull,1
310,red_bull,1
311,red_bull,0
312,renault,0
313,renault,1
314,renault,1
315,mclaren,1
316,manor,1
317,alfa,1
318,alfa,1
319,alphatauri,0
322,renault,1
324,mclaren,1
325,mclaren,1
326,ferrari,1
327,alphatauri,0
328,alphatauri,1
329,red_bull,0
331,red_bull,1
332,red_bull,1
334,red_bull,1
335,manor,1
336,renault,0
337,renault,1
338,manor,1
339,alfa,1
340,manor,1
341,mclaren,1
342,mclaren,0
343,mclaren,1
344,racing_point,1
345,racing_point,1
346,renault,1
347,renault,1
348,renault,1
349,alfa,1
350,alfa,1
351,alfa,1
352,alfa,1
354,williams,1
355,racing_point,1
357,racing_point,1
358,racing_point,1
359,alphatauri,1
360,red_bull,1
361,alphatauri,1
362,alphatauri,1
364,alphatauri,1
365,alfa,1
366,ferrari,1
367,ferrari,1
369,ferrari,1
370,williams,1
371,mclaren,1
372,mclaren,1
373,mclaren,1
374,mclaren,1
375,alphatauri,1
376,red_bull,1
377,red_bull,1
378,williams,1
379,williams,1
380,mercedes,1
381,williams,1
382,williams,1
383,williams,1
384,williams,0
386,williams,1
387,haas,1
388,alphatauri,1
389,haas,1
391,mercedes,1
392,mercedes,1
393,mercedes,1
394,mclaren,1
395,renault,1
396,haas,1
397,haas,1
398,haas,1
399,mclaren,1
400,mclaren,1
401,mclaren,1
402,ferrari,1
403,mclaren,1
404,mclaren,1
405,mclaren,0
406,mclaren,1
407,williams,1
408,williams,1
409,williams,1
410,mercedes,1
411,mercedes,1
412,mercedes,1
413,racing_point,1
414,racing_point,0
415,racing_point,1
416,renault,1
417,renault,1
418,renault,0
419,ferrari,1
420,ferrari,1
421,ferrari,1
422,ferrari,1
423,ferrari,1
424,alfa,1
425,alphatauri,1
426,alphatauri,1
427,red_bull,0
428,red_bull,1
429,alphatauri,0
431,racing_point,1
432,racing_point,1
433,racing_point,1
434,racing_point,1
435,racing_point,1
436,racing_point,1
437,alfa,0
438,alfa,1
439,haas,1
440,manor,1
441,manor,1
442,renault,0
443,renault,1
444,haas,1
445,haas,1
446,haas,1
447,haas,1
448,renault,1
449,renault,0
450,caterham,1
451,alfa,1
452,alfa,1
453,alfa,1
454,alfa,1
455,red_bull,1
456,ferrari,1
457,ferrari,1
458,ferrari,1
459,ferrari,1
460,ferrari,1
461,mercedes,1
462,mercedes,1
463,mercedes,1
464,mercedes,1
465,mercedes,1
466,mercedes,1
467,williams,1
468,williams,1
469,williams,1
470,williams,1
471,caterham,1
472,red_bull,1
473,red_bull,1
474,red_bull,1
475,red_bull,1
476,red_bull,1
477,renault,1
478,manor,1
479,alfa,1
480,alfa,1
481,alphatauri,1
482,alphatauri,1
