,season,constructor,fault
0,2014,mercedes,0
1,2015,mercedes,0
2,2016,mercedes,0
3,2014,mclaren,0
5,2016,renault,0
6,2017,haas,1
7,2018,haas,1
8,2019,haas,0
9,2014,mclaren,0
10,2015,mclaren,0
11,2016,mclaren,0
12,2014,ferrari,0
14,2017,mclaren,1
15,2018,mclaren,0
16,2014,williams,0
18,2016,williams,0
19,2017,mercedes,0
20,2018,mercedes,0
21,2019,mercedes,0
22,2014,racing_point,0
23,2015,racing_point,0
24,2016,racing_point,0
25,2017,renault,0
26,2018,renault,0
27,2019,renault,0
28,2014,ferrari,0
29,2015,ferrari,1
30,2016,ferrari,1
31,2017,ferrari,0
32,2018,ferrari,0
33,2019,alfa,0
34,2014,alphatauri,0
35,2014,alphatauri,0
38,2017,alphatauri,0
39,2019,alphatauri,0
40,2014,racing_point,0
41,2015,racing_point,0
42,2016,racing_point,0
43,2017,racing_point,0
44,2018,racing_point,0
45,2019,racing_point,0
46,2014,alfa,0
47,2014,alfa,0
49,2014,manor,0
50,2014,manor,0
51,2014,renault,1
52,2015,renault,1
53,2016,haas,0
54,2017,haas,1
55,2018,haas,1
56,2019,haas,1
57,2014,renault,1
59,2014,caterham,1
60,2015,alfa,0
61,2016,alfa,1
62,2017,alfa,1
63,2018,alfa,1
64,2014,red_bull,1
65,2015,ferrari,0
66,2016,ferrari,0
67,2017,ferrari,0
68,2018,ferrari,0
69,2019,ferrari,0
70,2014,mercedes,1
71,2015,mercedes,0
72,2016,mercedes,0
73,2017,mercedes,0
74,2018,mercedes,0
75,2019,mercedes,0
77,2015,williams,0
78,2016,williams,0
79,2017,williams,0
82,2015,red_bull,0
83,2016,red_bull,0
84,2017,red_bull,1
85,2018,red_bull,0
87,2015,alfa,0
88,2016,alfa,0
89,2015,alphatauri,0
90,2016,alphatauri,0
91,2017,alphatauri,0
92,2018,renault,0
93,2019,mclaren,1
94,2015,alphatauri,1
95,2016,alphatauri,0
96,2017,red_bull,0
97,2018,red_bull,0
98,2019,red_bull,0
99,2016,renault,0
100,2017,renault,1
101,2016,manor,0
102,2016,manor,1
103,2017,mclaren,0
104,2018,mclaren,0
105,2017,racing_point,0
106,2018,racing_point,0
107,2017,alfa,0
108,2019,alfa,0
109,2017,williams,1
110,2018,williams,0
111,2019,racing_point,0
112,2018,alphatauri,1
113,2019,red_bull,0
114,2018,alphatauri,0
115,2018,alfa,0
116,2019,ferrari,0
117,2018,williams,1
118,2019,mclaren,0
119,2019,alphatauri,0
120,2019,williams,0
121,2019,williams,0
122,2021,,1
123,2014,mercedes,0
124,2015,mercedes,0
125,2016,mercedes,0
126,2014,mclaren,0
127,2016,renault,1
128,2017,haas,0
129,2014,mclaren,0
130,2015,mclaren,1
131,2016,mclaren,0
132,2014,ferrari,0
133,2015,mclaren,1
134,2016,mclaren,0
135,2017,mclaren,0
136,2014,williams,0
137,2015,williams,0
138,2016,williams,0
139,2017,mercedes,0
140,2014,racing_point,0
141,2015,racing_point,0
142,2016,racing_point,0
143,2017,renault,0
144,2014,ferrari,0
145,2015,ferrari,0
146,2016,ferrari,0
147,2017,ferrari,1
148,2014,alphatauri,1
149,2014,alphatauri,0
150,2015,red_bull,0
151,2016,alphatauri,0
153,2015,racing_point,0
154,2016,racing_point,0
155,2017,racing_point,0
156,2014,alfa,1
157,2014,alfa,1
158,2016,haas,1
159,2014,manor,0
160,2014,manor,1
161,2014,renault,0
162,2015,renault,0
163,2016,haas,1
164,2017,haas,0
165,2014,renault,1
167,2014,caterham,0
169,2016,alfa,0
170,2017,alfa,0
171,2014,red_bull,0
172,2015,ferrari,0
174,2017,ferrari,0
175,2014,mercedes,0
176,2015,mercedes,0
177,2016,mercedes,1
178,2017,mercedes,0
179,2014,williams,0
180,2015,williams,0
181,2016,williams,0
182,2017,williams,0
183,2014,caterham,0
184,2014,red_bull,1
185,2015,red_bull,0
186,2016,red_bull,0
187,2017,red_bull,0
188,2015,manor,1
189,2015,alfa,0
190,2016,alfa,1
191,2015,alphatauri,0
192,2016,alphatauri,0
193,2017,alphatauri,1
194,2015,alphatauri,0
195,2016,red_bull,0
196,2017,red_bull,0
197,2015,manor,0
198,2016,renault,0
199,2017,renault,0
200,2016,manor,0
201,2017,alfa,0
202,2017,mclaren,0
203,2016,manor,0
204,2017,racing_point,0
205,2017,williams,0
206,2017,alphatauri,0
207,2014,mercedes,0
208,2015,mercedes,0
209,2016,mercedes,0
210,2014,mclaren,1
211,2016,renault,0
212,2017,haas,1
213,2018,haas,0
214,2019,haas,0
215,2020,haas,0
216,2020,haas,0
217,2014,mclaren,1
218,2015,mclaren,1
219,2016,mclaren,1
220,2014,ferrari,0
221,2015,mclaren,0
222,2017,mclaren,1
223,2018,mclaren,0
224,2021,renault,1
225,2014,williams,0
226,2015,williams,0
227,2016,williams,0
228,2017,mercedes,0
229,2018,mercedes,0
230,2019,mercedes,0
231,2020,mercedes,0
232,2020,mercedes,0
233,2021,mercedes,0
234,2014,racing_point,0
235,2015,racing_point,0
236,2016,racing_point,0
237,2017,renault,0
238,2018,renault,0
239,2019,renault,1
240,2014,ferrari,0
241,2015,ferrari,0
242,2016,ferrari,0
243,2017,ferrari,0
244,2018,ferrari,1
245,2019,alfa,0
246,2020,alfa,0
247,2020,alfa,0
248,2021,alfa,0
250,2014,alphatauri,0
251,2015,red_bull,0
252,2016,red_bull,0
253,2017,alphatauri,0
254,2019,alphatauri,0
255,2020,alphatauri,0
256,2020,alphatauri,0
257,2014,racing_point,0
