,season,name,fault
0,2014,Nico Rosberg,1
1,2015,Nico Rosberg,1
2,2016,Nico Rosberg,1
3,2014,Kevin Magnussen,1
4,2015,Kevin Magnussen,0
5,2016,Kevin Magnussen,1
8,2019,Kevin Magnussen,1
9,2014,Jenson Button,1
10,2015,Jenson Button,1
11,2016,Jenson Button,1
12,2014,Fernando Alonso,1
13,2016,Fernando Alonso,0
15,2018,Fernando Alonso,1
16,2014,Valtteri Bottas,1
17,2015,Valtteri Bottas,0
18,2016,Valtteri Bottas,1
19,2017,Valtteri Bottas,1
20,2018,Valtteri Bottas,1
21,2019,Valtteri Bottas,1
22,2014,Nico Hülkenberg,1
23,2015,Nico Hülkenberg,1
24,2016,Nico Hülkenberg,1
25,2017,Nico Hülkenberg,1
26,2018,Nico Hülkenberg,1
27,2019,Nico Hülkenberg,1
28,2014,Kimi Räikkönen,1
31,2017,Kimi Räikkönen,1
32,2018,Kimi Räikkönen,1
33,2019,Kimi Räikkönen,1
34,2014,Jean-Éric Vergne,1
35,2014,Daniil Kvyat,1
36,2015,Daniil Kvyat,0
37,2016,Daniil Kvyat,0
38,2017,Daniil Kvyat,1
39,2019,Daniil Kvyat,1
40,2014,Sergio Pérez,1
41,2015,Sergio Pérez,1
42,2016,Sergio Pérez,1
43,2017,Sergio Pérez,1
44,2018,Sergio Pérez,1
45,2019,Sergio Pérez,1
46,2014,Adrian Sutil,1
47,2014,Esteban Gutiérrez,1
48,2016,Esteban Gutiérrez,0
49,2014,Max Chilton,1
50,2014,Jules Bianchi,1
53,2016,Romain Grosjean,1
58,2015,Pastor Maldonado,0
60,2015,Marcus Ericsson,1
65,2015,Sebastian Vettel,1
66,2016,Sebastian Vettel,1
67,2017,Sebastian Vettel,1
68,2018,Sebastian Vettel,1
69,2019,Sebastian Vettel,1
71,2015,Lewis Hamilton,1
72,2016,Lewis Hamilton,1
73,2017,Lewis Hamilton,1
74,2018,Lewis Hamilton,1
75,2019,Lewis Hamilton,1
76,2014,Felipe Massa,0
77,2015,Felipe Massa,1
78,2016,Felipe Massa,1
79,2017,Felipe Massa,1
80,2014,Kamui Kobayashi,0
81,2014,Daniel Ricciardo,0
82,2015,Daniel Ricciardo,1
83,2016,Daniel Ricciardo,1
85,2018,Daniel Ricciardo,1
86,2019,Daniel Ricciardo,0
87,2015,Felipe Nasr,1
88,2016,Felipe Nasr,1
89,2015,Carlos Sainz,1
90,2016,Carlos Sainz,1
91,2017,Carlos Sainz,1
92,2018,Carlos Sainz,1
95,2016,Max Verstappen,1
96,2017,Max Verstappen,1
97,2018,Max Verstappen,1
98,2019,Max Verstappen,1
99,2016,Jolyon Palmer,1
101,2016,Pascal Wehrlein,1
103,2017,Stoffel Vandoorne,1
104,2018,Stoffel Vandoorne,1
105,2017,Esteban Ocon,1
106,2018,Esteban Ocon,1
107,2017,Antonio Giovinazzi,1
108,2019,Antonio Giovinazzi,1
110,2018,Lance Stroll,1
111,2019,Lance Stroll,1
113,2019,Pierre Gasly,1
114,2018,Brendon Hartley,1
115,2018,Charles Leclerc,1
116,2019,Charles Leclerc,1
118,2019,Lando Norris,1
119,2019,Alexander Albon,1
120,2019,George Russell,1
121,2019,Robert Kubica,1
123,2014,Nico Rosberg,1
124,2015,Nico Rosberg,1
125,2016,Nico Rosberg,1
126,2014,Kevin Magnussen,1
128,2017,Kevin Magnussen,1
129,2014,Jenson Button,1
131,2016,Jenson Button,1
132,2014,Fernando Alonso,1
134,2016,Fernando Alonso,1
135,2017,Fernando Alonso,1
136,2014,Valtteri Bottas,1
137,2015,Valtteri Bottas,1
138,2016,Valtteri Bottas,1
139,2017,Valtteri Bottas,1
140,2014,Nico Hülkenberg,1
141,2015,Nico Hülkenberg,1
142,2016,Nico Hülkenberg,1
143,2017,Nico Hülkenberg,1
144,2014,Kimi Räikkönen,1
145,2015,Kimi Räikkönen,1
146,2016,Kimi Räikkönen,1
149,2014,Daniil Kvyat,1
150,2015,Daniil Kvyat,1
151,2016,Daniil Kvyat,1
152,2014,Sergio Pérez,0
153,2015,Sergio Pérez,1
154,2016,Sergio Pérez,1
155,2017,Sergio Pérez,1
159,2014,Max Chilton,1
161,2014,Romain Grosjean,1
162,2015,Romain Grosjean,1
164,2017,Romain Grosjean,1
166,2015,Pastor Maldonado,0
167,2014,Marcus Ericsson,1
168,2015,Marcus Ericsson,0
169,2016,Marcus Ericsson,1
170,2017,Marcus Ericsson,1
171,2014,Sebastian Vettel,1
172,2015,Sebastian Vettel,1
173,2016,Sebastian Vettel,0
174,2017,Sebastian Vettel,1
175,2014,Lewis Hamilton,1
176,2015,Lewis Hamilton,1
178,2017,Lewis Hamilton,1
179,2014,Felipe Massa,1
180,2015,Felipe Massa,1
181,2016,Felipe Massa,1
182,2017,Felipe Massa,1
183,2014,Kamui Kobayashi,1
185,2015,Daniel Ricciardo,1
186,2016,Daniel Ricciardo,1
187,2017,Daniel Ricciardo,1
189,2015,Felipe Nasr,1
191,2015,Carlos Sainz,1
192,2016,Carlos Sainz,1
194,2015,Max Verstappen,1
195,2016,Max Verstappen,1
196,2017,Max Verstappen,1
197,2015,Roberto Merhi,1
198,2016,Jolyon Palmer,1
199,2017,Jolyon Palmer,1
200,2016,Pascal Wehrlein,1
201,2017,Pascal Wehrlein,1
202,2017,Stoffel Vandoorne,1
203,2016,Esteban Ocon,1
204,2017,Esteban Ocon,1
205,2017,Lance Stroll,1
206,2017,Pierre Gasly,1
207,2014,Nico Rosberg,1
208,2015,Nico Rosberg,1
209,2016,Nico Rosberg,1
211,2016,Kevin Magnussen,1
213,2018,Kevin Magnussen,1
214,2019,Kevin Magnussen,1
215,2020,Kevin Magnussen,1
216,2020,Kevin Magnussen,1
220,2014,Fernando Alonso,1
221,2015,Fernando Alonso,1
223,2018,Fernando Alonso,1
225,2014,Valtteri Bottas,1
226,2015,Valtteri Bottas,1
227,2016,Valtteri Bottas,1
228,2017,Valtteri Bottas,1
229,2018,Valtteri Bottas,1
230,2019,Valtteri Bottas,1
231,2020,Valtteri Bottas,1
232,2020,Valtteri Bottas,1
233,2021,Valtteri Bottas,1
234,2014,Nico Hülkenberg,1
235,2015,Nico Hülkenberg,1
236,2016,Nico Hülkenberg,1
237,2017,Nico Hülkenberg,1
238,2018,Nico Hülkenberg,1
240,2014,Kimi Räikkönen,1
241,2015,Kimi Räikkönen,1
242,2016,Kimi Räikkönen,1
243,2017,Kimi Räikkönen,1
245,2019,Kimi Räikkönen,1
246,2020,Kimi Räikkönen,1
247,2020,Kimi Räikkönen,1
248,2021,Kimi Räikkönen,1
249,2014,Jean-Éric Vergne,0
250,2014,Daniil Kvyat,1
251,2015,Daniil Kvyat,1
252,2016,Daniil Kvyat,1
253,2017,Daniil Kvyat,1
254,2019,Daniil Kvyat,1
255,2020,Daniil Kvyat,1
256,2020,Daniil Kvyat,1
257,2014,Sergio Pérez,1
258,2015,Sergio Pérez,1
259,2016,Sergio Pérez,1
260,2017,Sergio Pérez,1
261,2018,Sergio Pérez,1
262,2019,Sergio Pérez,1
264,2020,Sergio Pérez,1
265,2021,Sergio Pérez,1
266,2014,Adrian Sutil,0
267,2014,Esteban Gutiérrez,0
268,2016,Esteban Gutiérrez,0
269,2014,Max Chilton,1
270,2014,Jules Bianchi,1
271,2014,Romain Grosjean,1
272,2015,Romain Grosjean,1
273,2016,Romain Grosjean,1
274,2017,Romain Grosjean,1
275,2018,Romain Grosjean,1
276,2019,Romain Grosjean,0
277,2020,Romain Grosjean,0
278,2014,Pastor Maldonado,1
279,2015,Pastor Maldonado,1
280,2014,Marcus Ericsson,0
281,2015,Marcus Ericsson,1
282,2016,Marcus Ericsson,1
284,2018,Marcus Ericsson,1
285,2014,Sebastian Vettel,1
286,2015,Sebastian Vettel,1
