,season,name,fault
0,2014,Nico Rosberg,0
1,2015,Nico Rosberg,0
2,2016,Nico Rosberg,0
3,2014,Kevin Magnussen,0
4,2015,Kevin Magnussen,1
5,2016,Kevin Magnussen,0
8,2019,Kevin Magnussen,0
9,2014,Jenson Button,0
10,2015,Jenson Button,0
11,2016,Jenson Button,0
12,2014,Fernando Alonso,0
13,2016,Fernando Alonso,1
15,2018,Fernando Alonso,0
16,2014,Valtteri Bottas,0
17,2015,Valtteri Bottas,1
18,2016,Valtteri Bottas,0
19,2017,Valtteri Bottas,0
20,2018,Valtteri Bottas,0
21,2019,Valtteri Bottas,0
22,2014,Nico Hülkenberg,0
23,2015,Nico Hülkenberg,0
24,2016,Nico Hülkenberg,0
25,2017,Nico Hülkenberg,0
26,2018,Nico Hülkenberg,0
27,2019,Nico Hülkenberg,0
28,2014,Kimi Räikkönen,0
31,2017,Kimi Räikkönen,0
32,2018,Kimi Räikkönen,0
33,2019,Kimi Räikkönen,0
34,2014,Jean-Éric Vergne,0
35,2014,Daniil Kvyat,0
36,2015,Daniil Kvyat,1
37,2016,Daniil Kvyat,1
38,2017,Daniil Kvyat,0
39,2019,Daniil Kvyat,0
40,2014,Sergio Pérez,0
41,2015,Sergio Pérez,0
42,2016,Sergio Pérez,0
43,2017,Sergio Pérez,0
44,2018,Sergio Pérez,0
45,2019,Sergio Pérez,0
46,2014,Adrian Sutil,0
47,2014,Esteban Gutiérrez,0
48,2016,Esteban Gutiérrez,1
49,2014,Max Chilton,0
50,2014,Jules Bianchi,0
53,2016,Romain Grosjean,0
58,2015,Pastor Maldonado,1
60,2015,Marcus Ericsson,0
65,2015,Sebastian Vettel,0
66,2016,Sebastian Vettel,0
67,2017,Sebastian Vettel,0
68,2018,Sebastian Vettel,0
69,2019,Sebastian Vettel,0
71,2015,Lewis Hamilton,0
72,2016,Lewis Hamilton,0
73,2017,Lewis Hamilton,0
74,2018,Lewis Hamilton,0
75,2019,Lewis Hamilton,0
76,2014,Felipe Massa,1
77,2015,Felipe Massa,0
78,2016,Felipe Massa,0
79,2017,Felipe Massa,0
80,2014,Kamui Kobayashi,1
