country,nationality,scored
Australia,Australian,0.5
Australia,Belgian,0.5
Australia,Brazilian,0.6666666666666666
Australia,British,0.42857142857142855
Australia,Canadian,0.3333333333333333
Australia,Dutch,0.8
Australia,French,0.25
Australia,German,0.7647058823529411
Australia,Italian,0.0
Australia,Japanese,0.0
Australia,Mexican,0.375
Australia,Monegasque,0.5
Australia,Russian,0.5
Australia,Spanish,0.6666666666666666
Austria,Australian,0.625
Austria,Belgian,0.0
Austria,Brazilian,0.5
Austria,British,0.5238095238095238
Austria,Canadian,0.2857142857142857
Austria,Dutch,0.7142857142857143
Austria,French,0.4444444444444444
Austria,German,0.55
Austria,Italian,0.6666666666666666
Austria,Japanese,0.0
Austria,Mexican,0.6
Austria,Monegasque,0.75
Austria,Russian,0.125
Austria,Spanish,0.46153846153846156
Azerbaijan,Australian,0.6
Azerbaijan,Belgian,0.5
Azerbaijan,Brazilian,0.3333333333333333
Azerbaijan,British,0.5
Azerbaijan,Canadian,0.6
Azerbaijan,Dutch,0.4
Azerbaijan,French,0.2
Azerbaijan,German,0.6153846153846154
Azerbaijan,Italian,0.0
Azerbaijan,Japanese,1.0
Azerbaijan,Mexican,0.6666666666666666
Azerbaijan,Monegasque,1.0
Azerbaijan,Russian,0.0
Azerbaijan,Spanish,0.7777777777777778
Bahrain,Australian,0.7777777777777778
Bahrain,Belgian,0.6666666666666666
Bahrain,Brazilian,0.5714285714285714
Bahrain,British,0.5416666666666666
Bahrain,Canadian,0.2222222222222222
Bahrain,Dutch,0.5
Bahrain,French,0.5263157894736842
Bahrain,German,0.5
Bahrain,Italian,0.0
Bahrain,Japanese,0.5
Bahrain,Mexican,0.5454545454545454
Bahrain,Monegasque,0.6
Bahrain,Russian,0.3333333333333333
Bahrain,Spanish,0.35714285714285715
Belgium,Australian,0.5714285714285714
Belgium,Belgian,0.0
Belgium,Brazilian,0.5
Belgium,British,0.4444444444444444
Belgium,Canadian,0.4
Belgium,Dutch,0.5
Belgium,French,0.5625
Belgium,German,0.6
Belgium,Italian,0.0
Belgium,Mexican,0.6666666666666666
Belgium,Monegasque,0.3333333333333333
Belgium,Russian,0.42857142857142855
Belgium,Spanish,0.25
Brazil,American,0.0
Brazil,Australian,0.6666666666666666
Brazil,Belgian,0.0
Brazil,Brazilian,0.5
Brazil,British,0.6153846153846154
Brazil,Canadian,0.0
Brazil,Dutch,1.0
Brazil,French,0.23076923076923078
Brazil,German,0.6666666666666666
Brazil,Italian,1.0
Brazil,Mexican,0.5
Brazil,Monegasque,0.5
Brazil,Russian,0.4
Brazil,Spanish,0.5
Canada,Australian,0.8333333333333334
Canada,Belgian,0.0
Canada,Brazilian,0.16666666666666666
Canada,British,0.4
Canada,Canadian,0.6666666666666666
Canada,Dutch,0.6
Canada,French,0.5
Canada,German,0.8333333333333334
Canada,Italian,0.0
Canada,Japanese,0.0
Canada,Mexican,0.25
Canada,Monegasque,1.0
Canada,Russian,0.3333333333333333
Canada,Spanish,0.2727272727272727
China,Australian,1.0
China,Belgian,0.0
China,Brazilian,0.5
China,British,0.4
China,Canadian,0.0
China,Dutch,0.8
China,French,0.25
China,German,0.6470588235294118
China,Italian,0.0
China,Japanese,0.0
China,Mexican,0.375
China,Monegasque,0.5
China,Russian,0.3333333333333333
China,Spanish,0.45454545454545453
France,Australian,0.6666666666666666
France,Belgian,0.0
France,British,0.7142857142857143
France,Canadian,0.25
France,Dutch,1.0
France,French,0.2857142857142857
France,German,0.8333333333333334
France,Italian,0.0
France,Japanese,0.0
France,Mexican,0.3333333333333333
France,Monegasque,0.6666666666666666
France,Russian,0.0
France,Spanish,0.6
Germany,Australian,0.6
Germany,Belgian,0.0
Germany,Brazilian,0.0
Germany,British,0.5384615384615384
Germany,Canadian,0.3333333333333333
Germany,Dutch,1.0
Germany,French,0.4166666666666667
Germany,German,0.6428571428571429
Germany,Italian,0.5
Germany,Japanese,0.0
Germany,Mexican,0.5714285714285714
Germany,Monegasque,0.3333333333333333
Germany,Russian,0.2
Germany,Spanish,0.42857142857142855
Hungary,Australian,0.7142857142857143
Hungary,Belgian,0.5
Hungary,Brazilian,0.2
Hungary,British,0.5263157894736842
Hungary,Canadian,0.2
Hungary,Dutch,0.8333333333333334
Hungary,French,0.4
Hungary,German,0.5789473684210527
Hungary,Italian,0.0
Hungary,Japanese,0.0
Hungary,Mexican,0.2222222222222222
Hungary,Monegasque,0.3333333333333333
Hungary,Russian,0.14285714285714285
Hungary,Spanish,0.8333333333333334
Italy,Australian,0.9
Italy,Belgian,0.0
Italy,Brazilian,0.6666666666666666
Italy,British,0.5925925925925926
Italy,Canadian,0.36363636363636365
Italy,Dutch,0.5555555555555556
Italy,French,0.25
Italy,German,0.4782608695652174
Italy,Italian,0.4
Italy,Japanese,0.0
Italy,Mexican,0.75
Italy,Monegasque,0.6666666666666666
Italy,Russian,0.5
Italy,Spanish,0.3125
Japan,American,0.0
Japan,Australian,0.6666666666666666
Japan,Belgian,0.0
Japan,Brazilian,0.5
Japan,British,0.4666666666666667
Japan,Canadian,0.3333333333333333
Japan,Dutch,0.8
Japan,French,0.5
Japan,German,0.6111111111111112
Japan,Italian,0.0
Japan,Japanese,0.0
Japan,Mexican,0.625
Japan,Monegasque,0.5
Japan,Russian,0.2
Japan,Spanish,0.3
Malaysia,Australian,0.75
Malaysia,Belgian,1.0
Malaysia,Brazilian,0.5
Malaysia,British,0.5454545454545454
Malaysia,Canadian,1.0
Malaysia,Dutch,1.0
Malaysia,French,0.1111111111111111
Malaysia,German,0.5714285714285714
Malaysia,Japanese,0.0
Malaysia,Mexican,0.3333333333333333
Malaysia,Russian,0.6666666666666666
Malaysia,Spanish,0.375
Mexico,American,0.0
Mexico,Australian,0.6
Mexico,Belgian,0.5
Mexico,Brazilian,0.4
Mexico,British,0.45454545454545453
Mexico,Canadian,0.3333333333333333
Mexico,Dutch,1.0
Mexico,French,0.36363636363636365
Mexico,German,0.7142857142857143
Mexico,Italian,0.0
Mexico,Mexican,0.6666666666666666
Mexico,Monegasque,1.0
Mexico,Russian,0.25
Mexico,Spanish,0.1111111111111111
Monaco,Australian,0.8571428571428571
Monaco,Belgian,0.0
Monaco,Brazilian,0.6666666666666666
Monaco,British,0.5789473684210527
Monaco,Canadian,0.2
Monaco,Dutch,0.6666666666666666
Monaco,French,0.6428571428571429
Monaco,German,0.6
Monaco,Italian,0.5
Monaco,Japanese,0.0
Monaco,Mexican,0.3333333333333333
Monaco,Monegasque,0.0
Monaco,Russian,0.2857142857142857
Monaco,Spanish,0.6666666666666666
Portugal,Australian,1.0
Portugal,British,0.5
Portugal,Canadian,0.0
Portugal,Dutch,1.0
Portugal,French,0.8
Portugal,German,0.3333333333333333
Portugal,Italian,0.0
Portugal,Japanese,0.0
Portugal,Mexican,1.0
Portugal,Monegasque,1.0
Portugal,Russian,0.0
Portugal,Spanish,0.6666666666666666
Russia,Australian,0.42857142857142855
Russia,Belgian,0.0
Russia,Brazilian,0.6666666666666666
Russia,British,0.6111111111111112
Russia,Canadian,0.0
Russia,Dutch,0.8333333333333334
Russia,French,0.35714285714285715
Russia,German,0.42105263157894735
Russia,Italian,0.0
Russia,Japanese,0.0
Russia,Mexican,0.7777777777777778
Russia,Monegasque,1.0
Russia,Russian,0.2857142857142857
Russia,Spanish,0.3333333333333333
Singapore,American,0.0
Singapore,Australian,0.8333333333333334
Singapore,Belgian,0.5
Singapore,Brazilian,0.3333333333333333
Singapore,British,0.4666666666666667
Singapore,Canadian,0.3333333333333333
Singapore,Dutch,0.8
Singapore,French,0.3076923076923077
Singapore,German,0.5555555555555556
Singapore,Italian,1.0
Singapore,Japanese,0.0
Singapore,Mexican,0.5
Singapore,Monegasque,1.0
Singapore,Russian,0.3333333333333333
Singapore,Spanish,0.6
Spain,Australian,0.75
Spain,Belgian,0.0
Spain,Brazilian,0.3333333333333333
Spain,British,0.47619047619047616
Spain,Canadian,0.14285714285714285
Spain,Dutch,0.7142857142857143
Spain,French,0.5294117647058824
Spain,German,0.5714285714285714
Spain,Italian,0.0
Spain,Japanese,0.0
Spain,Mexican,0.6
Spain,Monegasque,0.75
Spain,Russian,0.5
Spain,Spanish,0.6428571428571429
Turkey,Australian,1.0
Turkey,British,0.6666666666666666
Turkey,Canadian,0.5
Turkey,Dutch,1.0
Turkey,French,0.0
Turkey,German,1.0
Turkey,Italian,0.0
Turkey,Mexican,1.0
Turkey,Monegasque,1.0
Turkey,Russian,0.0
Turkey,Spanish,1.0
UAE,Australian,0.7142857142857143
UAE,Belgian,0.0
UAE,Brazilian,0.5714285714285714
UAE,British,0.5882352941176471
UAE,Canadian,0.2
UAE,Dutch,0.8333333333333334
UAE,French,0.3333333333333333
UAE,German,0.631578947368421
UAE,Italian,0.0
UAE,Japanese,0.0
UAE,Mexican,0.6666666666666666
UAE,Monegasque,0.6666666666666666
UAE,Russian,0.3333333333333333
UAE,Spanish,0.5
UK,Australian,0.75
UK,Belgian,0.0
UK,Brazilian,0.3333333333333333
UK,British,0.5238095238095238
UK,Canadian,0.2857142857142857
UK,Dutch,0.7142857142857143
UK,French,0.3888888888888889
UK,German,0.6818181818181818
UK,Italian,0.0
UK,Japanese,0.0
UK,Mexican,0.5
UK,Monegasque,0.75
UK,Russian,0.625
UK,Spanish,0.38461538461538464
USA,American,0.0
USA,Australian,0.6666666666666666
USA,Belgian,0.0
USA,Brazilian,0.6666666666666666
