,country,nationality,scored,nat_country
0,Australia,German,1,Germany
1,Australia,German,1,Germany
2,Australia,German,1,Germany
9,Australia,British,1,UK
10,Australia,British,0,UK
11,Australia,British,0,UK
12,Australia,Spanish,1,Spain
13,Australia,Spanish,0,Spain
14,Australia,Spanish,0,Spain
15,Australia,Spanish,1,Spain
22,Australia,German,1,Germany
23,Australia,German,1,Germany
24,Australia,German,1,Germany
25,Australia,German,0,Germany
26,Australia,German,1,Germany
27,Australia,German,1,Germany
34,Australia,French,1,France
35,Australia,Russian,1,Russia
36,Australia,Russian,0,Russia
37,Australia,Russian,0,Russia
38,Australia,Russian,1,Russia
39,Australia,Russian,1,Russia
40,Australia,Mexican,1,Mexico
41,Australia,Mexican,1,Mexico
42,Australia,Mexican,0,Mexico
43,Australia,Mexican,1,Mexico
44,Australia,Mexican,0,Mexico
45,Australia,Mexican,0,Mexico
46,Australia,German,0,Germany
47,Australia,Mexican,0,Mexico
48,Australia,Mexican,0,Mexico
49,Australia,British,0,UK
50,Australia,French,0,France
51,Australia,French,0,France
52,Australia,French,0,France
53,Australia,French,1,France
54,Australia,French,0,France
55,Australia,French,0,France
56,Australia,French,0,France
64,Australia,German,0,Germany
65,Australia,German,1,Germany
66,Australia,German,1,Germany
67,Australia,German,1,Germany
68,Australia,German,1,Germany
69,Australia,German,1,Germany
70,Australia,British,0,UK
71,Australia,British,1,UK
72,Australia,British,1,UK
73,Australia,British,1,UK
74,Australia,British,1,UK
75,Australia,British,1,UK
76,Australia,Brazilian,0,Brazil
77,Australia,Brazilian,1,Brazil
78,Australia,Brazilian,1,Brazil
79,Australia,Brazilian,1,Brazil
80,Australia,Japanese,0,Japan
81,Australia,Australian,0,Australia
82,Australia,Australian,1,Australia
83,Australia,Australian,1,Australia
84,Australia,Australian,0,Australia
85,Australia,Australian,1,Australia
86,Australia,Australian,0,Australia
87,Australia,Brazilian,1,Brazil
88,Australia,Brazilian,0,Brazil
89,Australia,Spanish,1,Spain
90,Australia,Spanish,1,Spain
91,Australia,Spanish,1,Spain
92,Australia,Spanish,1,Spain
93,Australia,Spanish,0,Spain
94,Australia,Dutch,0,Austria
95,Australia,Dutch,1,Austria
96,Australia,Dutch,1,Austria
97,Australia,Dutch,1,Austria
98,Australia,Dutch,1,Austria
99,Australia,British,0,UK
100,Australia,British,0,UK
101,Australia,German,0,Germany
103,Australia,Belgian,0,Belgium
104,Australia,Belgian,1,Belgium
105,Australia,French,1,France
106,Australia,French,0,France
107,Australia,Italian,0,Italy
108,Australia,Italian,0,Italy
109,Australia,Canadian,0,Canada
110,Australia,Canadian,0,Canada
111,Australia,Canadian,1,Canada
112,Australia,French,0,France
113,Australia,French,0,France
115,Australia,Monegasque,0,Monaco
116,Australia,Monegasque,1,Monaco
117,Australia,Russian,0,Russia
118,Australia,British,0,UK
120,Australia,British,0,UK
515,Spain,German,1,Germany
516,Spain,German,1,Germany
517,Spain,German,0,Germany
524,Spain,British,0,UK
525,Spain,British,0,UK
526,Spain,British,1,UK
527,Spain,Spanish,1,Spain
528,Spain,Spanish,0,Spain
529,Spain,Spanish,0,Spain
530,Spain,Spanish,0,Spain
531,Spain,Spanish,1,Spain
532,Spain,Spanish,0,Spain
541,Spain,German,1,Germany
542,Spain,German,0,Germany
543,Spain,German,0,Germany
544,Spain,German,1,Germany
545,Spain,German,0,Germany
546,Spain,German,0,Germany
555,Spain,French,0,France
556,Spain,Russian,0,Russia
557,Spain,Russian,1,Russia
558,Spain,Russian,1,Russia
559,Spain,Russian,1,Russia
560,Spain,Russian,1,Russia
561,Spain,Russian,0,Russia
562,Spain,Mexican,1,Mexico
563,Spain,Mexican,0,Mexico
564,Spain,Mexican,1,Mexico
565,Spain,Mexican,1,Mexico
566,Spain,Mexican,1,Mexico
567,Spain,Mexican,0,Mexico
568,Spain,Mexican,1,Mexico
569,Spain,Mexican,1,Mexico
570,Spain,German,0,Germany
571,Spain,Mexican,0,Mexico
572,Spain,Mexican,0,Mexico
573,Spain,British,0,UK
574,Spain,French,0,France
575,Spain,French,1,France
576,Spain,French,1,France
577,Spain,French,0,France
578,Spain,French,1,France
579,Spain,French,0,France
580,Spain,French,1,France
581,Spain,French,0,France
589,Spain,German,1,Germany
590,Spain,German,1,Germany
591,Spain,German,1,Germany
592,Spain,German,1,Germany
593,Spain,German,1,Germany
594,Spain,German,1,Germany
595,Spain,German,1,Germany
596,Spain,German,0,Germany
597,Spain,British,1,UK
598,Spain,British,1,UK
599,Spain,British,0,UK
600,Spain,British,1,UK
601,Spain,British,1,UK
602,Spain,British,1,UK
603,Spain,British,1,UK
604,Spain,British,1,UK
605,Spain,Brazilian,0,Brazil
606,Spain,Brazilian,1,Brazil
607,Spain,Brazilian,1,Brazil
608,Spain,Brazilian,0,Brazil
609,Spain,Japanese,0,Japan
610,Spain,Australian,1,Australia
611,Spain,Australian,1,Australia
612,Spain,Australian,1,Australia
613,Spain,Australian,1,Australia
614,Spain,Australian,1,Australia
615,Spain,Australian,0,Australia
616,Spain,Australian,0,Australia
617,Spain,Australian,1,Australia
618,Spain,British,0,UK
619,Spain,Brazilian,0,Brazil
620,Spain,Brazilian,0,Brazil
621,Spain,Spanish,1,Spain
622,Spain,Spanish,1,Spain
623,Spain,Spanish,1,Spain
624,Spain,Spanish,1,Spain
625,Spain,Spanish,1,Spain
626,Spain,Spanish,1,Spain
627,Spain,Spanish,1,Spain
628,Spain,Dutch,0,Austria
629,Spain,Dutch,1,Austria
630,Spain,Dutch,0,Austria
631,Spain,Dutch,1,Austria
632,Spain,Dutch,1,Austria
633,Spain,Dutch,1,Austria
634,Spain,Dutch,1,Austria
635,Spain,Spanish,0,Spain
636,Spain,British,0,UK
637,Spain,British,0,UK
638,Spain,German,0,Germany
639,Spain,German,1,Germany
641,Spain,Belgian,0,Belgium
642,Spain,Belgian,0,Belgium
643,Spain,French,1,France
644,Spain,French,0,France
645,Spain,French,0,France
646,Spain,French,1,France
647,Spain,Italian,0,Italy
648,Spain,Italian,0,Italy
649,Spain,Italian,0,Italy
650,Spain,Canadian,0,Canada
651,Spain,Canadian,0,Canada
652,Spain,Canadian,0,Canada
653,Spain,Canadian,1,Canada
654,Spain,Canadian,0,Canada
655,Spain,French,0,France
656,Spain,French,1,France
657,Spain,French,1,France
658,Spain,French,1,France
660,Spain,Monegasque,1,Monaco
661,Spain,Monegasque,1,Monaco
662,Spain,Monegasque,0,Monaco
663,Spain,Monegasque,1,Monaco
664,Spain,Russian,0,Russia
665,Spain,British,0,UK
666,Spain,British,1,UK
667,Spain,British,1,UK
670,Spain,British,0,UK
671,Spain,British,0,UK
672,Spain,British,0,UK
674,Spain,Canadian,0,Canada
675,Spain,Canadian,0,Canada
676,Spain,Japanese,0,Japan
677,Spain,German,0,Germany
678,Spain,Russian,0,Russia
679,Monaco,German,1,Germany
680,Monaco,German,1,Germany
681,Monaco,German,1,Germany
687,Monaco,British,1,UK
688,Monaco,British,1,UK
689,Monaco,British,1,UK
690,Monaco,British,0,UK
691,Monaco,Spanish,1,Spain
