,season,round,race_name,name,constructor,grid,qual_position,q_best,q_worst,q_mean,ageDuringRace,circuitId,locality,country,type,direction,length,weather,finish_position,points,filled_splits
0,2014,1,australian,Nico Rosberg,mercedes,3.0,3.0,92.564,104.595,99.80766666666666,10489 days,albert_park,Melbourne,Australia,Street circuit,Clockwise,5.303,"overcast, 19°c (66°f) dry",1.0,25.0,0.0
1,2014,1,australian,Kevin Magnussen,mclaren,4.0,4.0,90.949,105.745,99.98033333333335,7832 days,albert_park,Melbourne,Australia,Street circuit,Clockwise,5.303,"overcast, 19°c (66°f) dry",2.0,18.0,26.777000000000044
2,2014,1,australian,Jenson Button,mclaren,10.0,11.0,91.396,104.437,97.9165,12475 days,albert_park,Melbourne,Australia,Street circuit,Clockwise,5.303,"overcast, 19°c (66°f) dry",3.0,15.0,30.027000000000044
3,2014,1,australian,Fernando Alonso,ferrari,5.0,5.0,91.388,105.819,100.004,11918 days,albert_park,Melbourne,Australia,Street circuit,Clockwise,5.303,"overcast, 19°c (66°f) dry",4.0,12.0,35.28399999999965
4,2014,1,australian,Valtteri Bottas,williams,15.0,10.0,91.601,108.147,101.2,8966 days,albert_park,Melbourne,Australia,Street circuit,Clockwise,5.303,"overcast, 19°c (66°f) dry",5.0,10.0,47.639000000000124
5,2014,1,australian,Nico Hülkenberg,racing_point,7.0,7.0,93.893,106.03,101.19366666666667,9706 days,albert_park,Melbourne,Australia,Street circuit,Clockwise,5.303,"overcast, 19°c (66°f) dry",6.0,8.0,50.71799999999985
6,2014,1,australian,Kimi Räikkönen,ferrari,11.0,12.0,92.439,104.494,98.4665,12569 days,albert_park,Melbourne,Australia,Street circuit,Clockwise,5.303,"overcast, 19°c (66°f) dry",7.0,6.0,57.67500000000018
7,2014,1,australian,Jean-Éric Vergne,alphatauri,6.0,6.0,93.488,105.864,101.06700000000001,8726 days,albert_park,Melbourne,Australia,Street circuit,Clockwise,5.303,"overcast, 19°c (66°f) dry",8.0,4.0,60.4409999999998
8,2014,1,australian,Daniil Kvyat,alphatauri,8.0,8.0,93.777,107.368,101.82533333333333,7264 days,albert_park,Melbourne,Australia,Street circuit,Clockwise,5.303,"overcast, 19°c (66°f) dry",9.0,2.0,63.585000000000036
9,2014,1,australian,Sergio Pérez,racing_point,16.0,16.0,94.141,107.293,100.71700000000001,8815 days,albert_park,Melbourne,Australia,Street circuit,Clockwise,5.303,"overcast, 19°c (66°f) dry",10.0,1.0,85.91600000000017
10,2014,1,australian,Adrian Sutil,alfa,13.0,14.0,93.673,105.655,99.664,11387 days,albert_park,Melbourne,Australia,Street circuit,Clockwise,5.303,"overcast, 19°c (66°f) dry",11.0,0.0,85.91600000000017
